dt,open,high,low,close,volume
2025-07-28,567.73999,569.039978,566.869995,568.140015,31498700
2025-07-29,570.76001,572.109985,566.530029,567.26001,45463300
2025-07-30,568.179993,570.619995,565.049988,568.02002,43433800
2025-07-31,574.539978,574.630005,563.869995,565.01001,64613600
2025-08-01,558.830017,559.02002,551.679993,553.880005,69400800
2025-08-04,559.049988,564.320007,558.950012,564.099976,47669800
2025-08-05,565.390015,566.559998,559.72998,560.27002,48666600
2025-08-06,561.109985,567.76001,560.630005,567.320007,41823700
2025-08-07,571.669983,573.320007,565.109985,569.23999,44463000
2025-08-08,570.450012,574.77002,570.150024,574.549988,35255500
2025-08-11,574.690002,576.799988,571.570007,572.849976,33112900
2025-08-12,575.159973,580.349976,572.48999,580.049988,42143300
2025-08-13,582.76001,583.320007,578.940002,580.340027,41209300
2025-08-14,578.280029,581.880005,577.909973,579.890015,45425000
2025-08-15,579.799988,579.840027,575.570007,577.340027,49480200
2025-08-18,576.440002,577.77002,575.23999,577.109985,29831000
2025-08-19,576.390015,576.559998,568.25,569.280029,53752600
2025-08-20,568.330017,568.450012,558.840027,565.900024,76781100
2025-08-21,564.349976,566.48999,560.97998,563.280029,46436900
2025-08-22,564.669983,573.98999,563.27002,571.969971,51502100
2025-08-25,570.400024,573.289978,569.159973,570.320007,34044700
2025-08-26,569.830017,572.919983,568.799988,572.609985,34103000
2025-08-27,571.590027,574.409973,570.369995,573.48999,36927100
2025-08-28,574.109985,578.0,572.460022,577.080017,46787900
2025-08-29,574.659973,575.030029,568.539978,570.400024,56030400
2025-09-02,561.309998,565.969971,559.539978,565.619995,65876800
2025-09-03,569.22998,571.700012,566.72998,570.070007,54230200
2025-09-04,570.73999,575.599976,569.030029,575.22998,47526300
2025-09-05,580.48999,581.119995,571.530029,576.059998,68342500
2025-09-08,578.369995,580.840027,577.77002,578.869995,46371400
2025-09-09,579.669983,580.940002,577.039978,580.51001,44007600
2025-09-10,583.73999,583.77002,578.549988,580.700012,49308000
2025-09-11,583.23999,584.880005,581.619995,584.080017,44745800
2025-09-12,585.039978,587.859985,584.099976,586.659973,50745900
2025-09-15,588.440002,591.789978,588.289978,591.679993,44360300
2025-09-16,592.609985,592.859985,590.48999,591.179993,36942100
2025-09-17,591.099976,591.75,584.369995,590.0,69384800
2025-09-18,594.909973,598.140015,592.960022,595.320007,61069300
2025-09-19,597.330017,600.049988,595.849976,599.349976,58196100
2025-09-22,597.73999,602.869995,597.719971,602.200012,57154800
2025-09-23,602.369995,602.570007,596.97998,598.200012,64635500
2025-09-24,599.580017,599.900024,593.359985,596.099976,49850300
2025-09-25,592.200012,595.119995,588.5,593.530029,70920200
2025-09-26,594.349976,596.299988,591.059998,595.969971,54337400
2025-09-29,599.109985,602.049988,597.409973,598.72998,48332900
2025-09-30,598.429993,600.710022,596.099976,600.369995,46533800
2025-10-01,597.169983,603.789978,596.340027,603.25,46899600
2025-10-02,607.059998,607.159973,602.929993,605.72998,43765400
2025-10-03,606.51001,607.330017,601.390015,603.179993,46482100
2025-10-06,608.450012,609.359985,605.969971,607.710022,41962100
2025-10-07,609.02002,609.710022,603.030029,604.51001,58209500
2025-10-08,605.409973,611.75,605.26001,611.440002,50629800
2025-10-09,611.47998,611.609985,607.47998,610.700012,45551000
2025-10-10,611.400024,613.179993,589.049988,589.5,97614800
2025-10-13,599.679993,602.950012,597.22998,602.01001,65872600
2025-10-14,595.309998,602.690002,590.130005,598.0,69203200
2025-10-15,604.01001,606.700012,595.929993,602.219971,62805500
2025-10-16,605.109985,608.309998,595.5,599.98999,70982000
2025-10-17,597.950012,605.51001,596.369995,603.929993,72024900
2025-10-20,607.140015,612.799988,607.070007,611.539978,45761700
2025-10-21,611.640015,612.719971,609.320007,611.380005,44538200
2025-10-22,610.820007,611.409973,599.73999,605.48999,61478800
2025-10-23,604.909973,611.369995,604.52002,610.580017,42844300
2025-10-24,615.98999,618.419983,615.130005,617.099976,47632500
2025-10-27,624.52002,628.549988,624.030029,628.090027,54098600
2025-10-28,630.359985,634.679993,629.25,632.919983,61195700
2025-10-29,635.590027,637.01001,630.25,635.77002,67422800
2025-10-30,632.169983,633.5,625.940002,626.049988,61628600
2025-10-31,634.169983,634.200012,626.690002,629.070007,66305100
2025-11-03,635.109985,635.820007,629.849976,632.080017,37154300
2025-11-04,623.280029,626.950012,618.460022,619.25,63830800
2025-11-05,618.48999,626.599976,617.210022,623.280029,48688500
2025-11-06,621.789978,622.039978,610.299988,611.669983,72115100
2025-11-07,608.309998,609.950012,598.669983,609.73999,81835400
2025-11-10,618.919983,624.309998,616.890015,623.22998,55919900
2025-11-11,620.570007,622.719971,617.52002,621.570007,44868800
2025-11-12,624.840027,624.859985,617.809998,621.080017,47444400
2025-11-13,617.539978,618.119995,606.080017,608.400024,71333600
